cust_id,°¡°ø½ÄÇ°,°¡°ø½ÄÇ°2,³²¼ºÆÐ¼Ç,³²¼ºÆÐ¼Ç2,¸®ºù,¸®ºù2,¸®ºùÄÁÅÙÃ÷,¸®ºùÄÁÅÙÃ÷2,½ºÆ÷Ã÷ÆÀ,½ºÆ÷Ã÷ÆÀ2,½Å¼±½ÄÇ°,½Å¼±½ÄÇ°2,¾Æµ¿/Å×³ÍÆ®,¾Æµ¿/Å×³ÍÆ®2,¿©¼ºÆÐ¼Ç,¿©¼ºÆÐ¼Ç2,¿µÆÐ¼Ç,¿µÆÐ¼Ç2,¿ÍÄ¡ÁÖ¾ó¸®ÆÀ,¿ÍÄ¡ÁÖ¾ó¸®ÆÀ2,ÇØ¿Ü¸íÇ°ÆÀ,ÇØ¿Ü¸íÇ°ÆÀ2,"ÇØ¿ÜºäÆ¼,ACCÆÀ","ÇØ¿ÜºäÆ¼,ACCÆÀ2",F&B,F&B2,¸ÅÃâÇÕ°è
728423745,50,"2,120",14,"4,765",36,"17,190",5,698,123,"46,121",36,"2,240",12,"3,098",37,"41,327",10,"3,433",,,4,"23,720",16,"8,087",205,"4,176","156,975"
728464046,11,"2,885",1,255,8,986,1,195,2,287,12,840,1,380,4,"1,136",1,366,,,45,"163,550",11,"3,769",2,23,"174,671"
728535511,19,664,5,"16,168",16,"3,548",,,5,502,15,335,8,"10,954",12,"14,177",9,518,4,"46,320",15,"32,185",12,"1,800",50,883,"128,054"
728568642,21,"1,109",1,40,14,"19,908",,,1,219,4,142,,,10,"2,133",,,,,53,"68,328",41,"21,514",76,"3,538","116,931"
728650201,1,37,1,635,3,"2,205",,,,,3,126,,,1,850,1,110,10,"115,004",9,"26,549",2,145,18,420,"146,081"
728702905,11,"10,376",2,585,2,951,,,3,383,6,468,,,1,716,7,568,1,"5,500",32,"115,917",6,"2,543",30,"1,099","139,106"
728702918,13,"20,041",3,"2,979",1,19,,,2,235,10,"32,922",3,254,4,"4,490",4,856,15,"270,250",50,"159,007",11,"3,893",23,"8,038","502,984"
728757567,,,1,695,,,,,2,"1,356",,,,,,,,,5,"12,357",59,"271,884",6,"1,075",5,330,"287,697"
728846849,5,"2,134",9,"3,997",2,239,2,155,6,"1,003",4,68,72,"10,032",24,"13,407",14,"3,359",13,"52,407",92,"161,738",1,81,90,"1,772","250,393"
728919015,,,,,5,150,,,1,325,,,1,"1,057",,,,,,,4,0,58,"183,017",5,66,"184,614"
728936041,34,"4,203",1,255,1,147,,,10,"1,994",8,671,21,"5,628",10,"9,590",6,90,5,"41,592",21,"184,066",25,"6,802",130,"5,278","260,315"
728947367,16,"1,898",9,"6,070",36,"36,448",3,510,,,49,"9,268",26,"5,258",4,"4,768",3,"3,154",5,"35,280",29,"59,820",5,"1,134",74,"1,578","165,185"
728963842,36,"2,425",21,"6,006",8,"1,356",,,21,"2,026",16,679,1,13,22,"13,509",23,"4,462",1,52,40,"98,296",34,"9,396",59,"2,121","140,341"
728964336,1,125,4,"6,311",5,725,,,4,"1,750",2,190,11,"1,810",11,"8,994",4,"1,598",4,"15,750",27,"201,429",15,"9,571",23,371,"248,624"
728968466,18,774,1,50,5,169,,,,,2,38,21,"2,729",2,357,2,289,5,"18,450",30,"143,042",19,"4,683",135,"2,153","172,733"
728977755,108,"22,477",11,"4,618",56,"27,315",,,30,"5,506",33,"3,049",43,"10,834",16,"7,007",16,"3,943",8,"62,611",27,"31,836",42,"11,721",95,"6,064","196,981"
728991289,10,504,5,698,6,987,,,,,3,619,8,106,3,350,9,270,1,129,4,0,14,"2,558",16,271,"6,493"
729005823,8,336,1,"2,549",8,"4,103",4,"1,928",8,"3,556",5,255,3,767,7,"8,077",11,522,8,"42,020",32,"134,796",7,"1,009",94,"2,163","202,081"
729009377,13,811,5,"1,343",8,"6,703",1,75,6,"1,545",16,"2,120",38,"7,037",17,"2,609",3,640,2,478,24,"91,723",35,"9,397",100,"3,027","127,508"
729022261,29,"2,881",16,"8,635",5,"3,783",5,"1,855",28,"10,024",62,"6,787",5,"3,316",8,"4,338",6,564,16,"56,010",32,"32,225",31,"10,494",106,"5,108","146,019"
729058248,28,"93,844",1,518,3,150,2,116,7,"2,309",9,324,11,"1,608",10,"4,200",3,370,9,"11,959",52,"161,413",11,"2,725",65,"1,434","280,970"
729112533,45,"4,643",20,"11,786",25,"45,913",,,47,"16,741",20,"2,572",2,177,11,"6,812",11,"3,503",1,169,29,"129,907",36,"7,699",88,"3,807","233,728"
729112953,31,"6,838",10,"8,741",37,"18,389",13,"3,290",2,"2,566",20,"3,255",6,529,55,"39,968",9,"1,900",11,"88,020",54,"57,516",52,"11,401",52,"2,289","244,701"
729159236,77,"5,977",2,"1,240",7,"4,754",,,34,"25,875",38,"4,410",12,"1,098",11,"15,579",,,,,34,"57,465",19,"10,075",107,"2,914","129,387"
729175345,18,"2,929",8,"2,697",23,"16,360",,,7,"2,121",15,"1,200",6,879,14,"34,677",5,539,8,"4,469",97,"174,665",32,"9,960",54,"1,222","251,717"
729246291,7,561,10,"12,692",1,41,,,5,"3,897",14,624,3,"1,124",46,"56,499",1,40,36,"80,200",21,"15,351",13,"3,945",15,"1,288","176,262"
729253458,97,"9,742",2,480,29,"44,362",,,37,"15,410",39,"2,298",1,70,20,"6,800",1,104,23,"67,921",25,"23,157",36,"11,609",79,"2,093","184,046"
729295223,25,"1,476",,,33,"7,023",1,179,2,189,20,703,,,66,"84,346",3,"1,475",4,"8,240",46,"93,320",19,"5,743",203,"4,299","206,994"
729315304,54,"2,862",,,22,"25,278",,,47,"22,906",89,"12,758",39,"19,595",7,"1,101",21,"6,328",4,347,8,"26,358",19,"3,799",165,"5,691","127,024"
729340561,8,523,,,1,333,1,58,1,63,7,"1,169",2,407,3,"2,330",,,12,"20,128",53,"120,961",18,"4,718",50,831,"151,522"
729386651,15,"1,350",2,"3,863",15,"1,774",,,12,"3,111",12,"1,051",19,"16,051",,,1,258,,,27,"90,261",11,"3,069",41,906,"121,694"
729386727,68,"10,448",2,"1,485",31,"7,477",8,"1,029",11,"1,227",52,"12,196",25,"10,990",4,580,11,"3,434",16,"64,610",93,"150,066",77,"28,573",249,"8,964","301,079"
729415103,4,33,1,188,,,,,,,2,33,2,42,4,154,,,,,,,3,255,5,100,805
729423993,31,"1,039",,,14,"4,640",,,6,632,29,"1,043",16,"1,616",53,"17,535",13,207,10,"91,154",7,"18,920",64,"7,203",69,"1,530","145,518"
729433854,3,353,1,778,14,"25,755",1,183,18,"10,106",4,252,30,"7,632",10,"16,313",3,486,3,"5,411",32,"51,703",20,"4,565",27,934,"124,472"
729459157,37,"17,127",,,7,"9,934",1,654,13,"26,515",56,"35,621",21,"22,016",5,"19,236",1,85,1,"4,450",66,"403,544",13,"4,744",16,970,"544,896"
729531041,3,186,,,6,681,,,,,1,10,3,122,2,188,,,1,68,,,46,"127,799",18,300,"129,355"
729532016,14,"1,636",2,582,12,"6,978",,,5,"2,793",9,868,5,"2,045",31,"15,270",2,"2,929",,,35,"73,173",13,"2,817",54,"2,072","111,163"
729545868,16,"11,191",1,355,2,374,,,12,"3,353",1,960,2,124,,,,,4,"127,270",11,"22,351",11,"2,360",12,333,"168,672"
729551791,35,"3,168",20,"11,611",8,"4,084",2,"1,149",17,"5,993",34,"3,382",37,"2,935",7,"4,739",5,"1,917",4,"29,630",45,"60,093",33,"5,576",166,"4,797","139,073"
729563766,,,,,,,,,,,,,,,,,,,25,"198,600",,,1,"2,645",,,"201,245"
729581611,5,111,5,"1,206",11,"3,161",,,7,"5,537",4,"6,010",64,"4,839",6,320,4,169,8,"17,268",61,"104,833",10,"1,791",50,"1,492","146,736"
729651586,5,686,1,"1,890",,,,,4,"1,207",1,313,,,4,"16,943",,,1,"87,000",6,"13,140",4,"1,169",10,249,"122,596"
729681071,18,821,4,132,4,158,,,6,"1,705",50,"2,416",6,355,10,"2,397",5,500,11,"102,556",8,"5,980",12,958,66,"2,133","120,110"
729711158,37,"5,895",12,"6,932",53,"76,354",,,2,800,33,"7,759",16,"1,168",19,"90,401",1,6,1,520,,,5,"1,517",26,391,"191,742"
729712481,7,"3,627",,,1,69,2,744,22,"12,432",10,"3,359",9,"1,816",6,"4,160",3,273,11,"73,720",13,"62,367",8,"6,162",50,"1,907","170,634"
729746486,30,"6,359",1,290,13,"4,415",3,453,11,"5,364",4,790,2,327,14,"8,964",1,764,7,"101,800",6,"3,734",14,"4,658",38,"2,208","140,125"
729822414,23,"3,085",12,"3,812",16,"32,601",,,19,"3,607",61,"7,508",10,"1,837",25,"16,549",10,743,7,"2,270",25,"61,657",16,"8,144",57,"1,680","143,494"
729830921,25,"3,912",,,52,"13,924",1,30,10,"1,852",28,"2,169",12,"1,589",17,"68,189",5,276,4,"1,958",55,"36,472",33,"4,969",63,"2,207","137,545"
